date,open,high,low,close,volume
2024-01-02,1.17329,1.18191,1.16699,1.17659,111341.0
2024-01-03,1.18719,1.19955,1.15208,1.1654,193805.0
2024-01-04,1.16119,1.18639,1.14164,1.16995,134616.0
2024-01-05,1.18009,1.196,1.15354,1.17229,97581.0
2024-01-08,1.17022,1.20836,1.14551,1.18858,145166.0
2024-01-09,1.20486,1.21737,1.18076,1.19503,126347.0
2024-01-10,1.20092,1.21407,1.17815,1.19108,180814.0
2024-01-11,1.18937,1.20207,1.16817,1.17969,154693.0
2024-01-12,1.19208,1.20138,1.18054,1.19055,154546.0
2024-01-15,1.19176,1.19755,1.18542,1.19206,151646.0
2024-01-16,1.18388,1.2079,1.17,1.19615,98776.0
2024-01-17,1.19402,1.21207,1.17747,1.19418,119675.0
2024-01-18,1.1844,1.20609,1.15155,1.17571,130915.0
2024-01-19,1.16693,1.20573,1.1538,1.19083,120308.0
2024-01-22,1.19775,1.21337,1.18397,1.20096,169783.0
2024-01-23,1.20282,1.22103,1.18907,1.20769,142860.0
2024-01-24,1.20193,1.22436,1.19739,1.22,184644.0
2024-01-25,1.22355,1.24638,1.18514,1.20608,189008.0
2024-01-26,1.20051,1.24776,1.18706,1.23621,211234.0
2024-01-29,1.23827,1.25217,1.21916,1.23399,143928.0
2024-01-30,1.23606,1.25682,1.22064,1.24142,109095.0
2024-01-31,1.24828,1.26767,1.23596,1.25458,142502.0
2024-02-01,,1.25796,1.18607,1.21349,160447.0
2024-02-02,1.2171,1.24899,1.20816,1.24051,164471.0
2024-02-05,1.25116,1.27278,1.22007,1.24264,123771.0
2024-02-06,1.25276,1.25745,1.21156,1.21661,221678.0
2024-02-07,1.22289,1.24059,1.19257,1.21209,116072.0
2024-02-08,1.21222,1.2642,1.204,1.25633,264668.0
2024-02-09,1.25561,1.26411,1.24619,1.25384,136487.0
2024-02-12,1.239,1.24783,1.22283,1.23227,156837.0
2024-02-13,1.22641,1.25064,1.20546,1.23136,123310.0
2024-02-14,1.22887,1.25473,1.20995,1.23931,152603.0
2024-02-15,1.2287,1.24046,1.21862,1.23166,150474.0
2024-02-16,1.21836,1.22991,1.21333,1.2246,150021.0
2024-02-19,1.21922,1.23268,1.19747,1.21035,205092.0
2024-02-20,1.1985,1.23784,1.18295,1.2248,
2024-02-21,1.22371,1.24209,1.20872,1.22702,122866.0
2024-02-22,1.21521,1.238,1.2045,1.22824,126686.0
2024-02-23,1.23017,1.25141,1.20831,1.23228,141079.0
2024-02-26,1.22701,1.24104,1.21577,1.22819,109549.0
2024-02-27,1.22153,1.24952,1.20127,1.22945,100780.0
2024-02-28,1.22748,1.23756,1.22134,1.23215,142611.0
2024-02-29,1.22845,1.26367,1.21262,1.25083,163069.0
2024-03-01,1.25234,1.26325,1.22673,1.23657,169413.0
2024-03-04,1.23486,1.26071,1.22261,1.24678,135272.0
2024-03-05,1.24531,1.28028,1.22556,1.26441,113859.0
2024-03-06,1.26011,1.26937,1.24196,1.25281,178106.0
2024-03-07,1.24706,1.26129,1.23642,1.25214,130897.0
2024-03-08,1.25461,1.27678,1.2326,1.2515,103580.0
2024-03-11,1.24813,,1.238,1.24602,102976.0
2024-03-12,1.22884,1.25445,1.20727,1.23698,99869.0
2024-03-13,1.23465,1.24887,1.20901,1.22269,205692.0
2024-03-14,1.21997,1.23818,1.17639,1.19705,199449.0
2024-03-15,1.20303,1.21104,1.18794,1.19725,96416.0
2024-03-18,1.20808,1.21365,1.15742,1.16271,203264.0
2024-03-19,1.18005,1.18644,1.15459,1.16225,125053.0
2024-03-20,1.15819,1.17804,1.14271,1.16548,131753.0
2024-03-21,1.17077,1.19318,1.13088,1.15184,189716.0
2024-03-22,1.15694,1.16673,1.14131,1.15268,114056.0
2024-03-25,1.14013,1.17079,1.12251,1.15538,128803.0
2024-03-26,1.14148,1.16503,1.13361,1.15873,100986.0
2024-03-27,1.14413,1.16469,1.13297,1.15188,99571.0
