date,open,high,low,close,volume
2024-01-02,82.3253,85.9066,77.892,81.6947,224239.0
2024-01-03,82.2133,87.1525,78.4963,83.392,212519.0
2024-01-04,84.8625,88.8795,81.8779,85.932,162490.0
2024-01-05,83.8253,89.6098,80.7567,86.7686,370188.0
2024-01-08,87.3494,92.5633,84.3505,89.4594,407406.0
2024-01-09,89.1999,91.0386,86.9705,89.2703,350354.0
2024-01-10,88.8833,93.0828,87.6814,92.1031,324662.0
2024-01-11,91.1173,93.6536,84.7674,87.7526,482246.0
2024-01-12,88.8548,92.8668,82.363,87.2881,325752.0
2024-01-15,87.3621,91.0268,83.203,87.7991,278889.0
2024-01-16,88.709,95.2588,85.5729,91.4602,207292.0
2024-01-17,90.3523,91.2004,87.7636,88.5246,191944.0
2024-01-18,89.686,90.6711,86.4223,87.2171,280547.0
2024-01-19,83.182,94.8019,80.3098,92.0636,354884.0
2024-01-22,90.5844,94.6182,83.4232,87.5315,303575.0
2024-01-23,87.4246,91.0519,83.9096,87.6231,270792.0
2024-01-24,88.5799,97.66,85.9868,95.6989,524952.0
2024-01-25,95.0824,98.2927,92.9225,96.7199,318123.0
2024-01-26,,99.2275,92.5893,94.9201,391739.0
2024-01-29,99.4584,102.3935,88.7245,91.4039,268254.0
2024-01-30,92.2114,95.0636,87.8598,90.9811,188157.0
2024-01-31,88.6595,91.9255,85.9144,89.2804,407348.0
2024-02-01,86.2103,91.9419,85.0012,90.9632,160506.0
2024-02-02,90.3273,93.0774,88.9264,91.7736,145993.0
2024-02-05,90.2596,94.1304,83.7319,88.8152,191043.0
2024-02-06,88.8396,90.7433,83.3541,85.4955,292128.0
2024-02-07,87.1046,88.4296,82.2212,83.7053,337505.0
2024-02-08,80.6425,86.3052,77.7303,84.0388,
2024-02-09,84.8989,87.4926,77.8945,80.8052,220983.0
2024-02-12,80.7608,84.9755,79.2455,83.1094,259752.0
2024-02-13,85.2106,87.8893,78.5139,81.4745,219440.0
2024-02-14,80.2759,83.7619,78.6016,82.4544,350279.0
2024-02-15,81.6692,82.6108,79.6318,80.7736,406818.0
2024-02-16,81.1914,87.8051,77.9054,84.4332,321306.0
2024-02-19,85.5029,86.9667,82.9054,84.6801,278890.0
2024-02-20,84.2448,89.698,80.076,86.5727,322799.0
2024-02-21,87.8178,91.8205,86.8439,90.9767,249089.0
2024-02-22,89.8523,90.895,87.8698,88.9552,292253.0
2024-02-23,90.0869,100.2447,87.1909,98.1064,503770.0
2024-02-26,98.1728,101.9183,86.9097,92.0374,454698.0
2024-02-27,94.251,95.7331,89.1532,90.807,136114.0
2024-02-28,87.1035,92.0269,85.6606,90.4552,205972.0
2024-02-29,91.1792,,85.9236,90.941,304061.0
2024-03-01,89.8736,92.4321,88.7681,91.3113,302446.0
2024-03-04,92.7453,95.436,86.2842,88.8368,327477.0
2024-03-05,89.4216,91.6452,86.0963,89.1412,220472.0
2024-03-06,88.9344,93.5647,84.7936,90.2644,162706.0
2024-03-07,89.3873,93.2168,87.665,91.3853,162640.0
2024-03-08,89.3365,94.5739,87.9484,93.183,385136.0
2024-03-11,91.6568,98.7865,87.604,95.8032,368421.0
2024-03-12,94.1479,97.714,92.3472,95.4822,171502.0
2024-03-13,93.8897,97.0999,89.3491,93.472,240652.0
2024-03-14,93.9065,98.6917,91.2765,96.489,215964.0
2024-03-15,98.2104,101.1818,92.4805,95.5599,299590.0
2024-03-18,97.0757,100.956,92.285,95.6245,334397.0
2024-03-19,93.8396,97.2573,91.8295,95.3004,125373.0
2024-03-20,93.313,101.8644,88.1266,97.8345,232607.0
2024-03-21,96.6219,100.3706,92.4543,96.7689,303376.0
2024-03-22,97.8107,99.6291,90.912,92.8048,197395.0
2024-03-25,94.2808,97.5486,87.3632,90.8849,207689.0
2024-03-26,92.4063,95.3203,87.3446,90.07,307035.0
2024-03-27,90.4683,91.9172,87.6615,89.2015,161393.0
2024-03-28,86.5847,89.756,83.2797,87.0329,163642.0
2024-03-29,90.1537,94.1193,81.697,86.0865,377240.0
2024-04-01,88.2038,90.5536,,86.2826,154709.0
2024-04-02,86.2934,89.1145,80.6892,83.855,303625.0
2024-04-03,83.3384,87.0787,77.1715,81.3792,246205.0
2024-04-04,81.4769,84.2059,80.3899,83.3497,242169.0
2024-04-05,82.8558,87.3842,78.8541,83.7566,296740.0
