timestamp,value,open,high,low,volume,returns,volatility
2025-01-02,1.08624,1.08678,1.08912,1.08529,98224.0,,
2025-01-03,1.08596,1.08559,1.08788,1.08434,125738.0,-0.0002577699219326,
2025-01-06,1.08757,1.08515,1.09047,1.08444,110150.0,0.0014825592102838,
2025-01-07,1.09126,1.08793,1.09264,1.08522,148731.0,0.0033928850556745,
2025-01-08,1.09076,1.09109,1.09224,1.08881,134688.0,-0.0004581859501859,
2025-01-09,1.09025,1.0913,1.09396,1.08808,158509.0,-0.0004675639003997,
2025-01-10,1.09409,1.09061,1.09507,1.08816,93577.0,0.0035221279523045,
2025-01-13,1.09599,1.09404,1.0989,1.09234,93070.0,0.0017366030216892,0.001740734107972926
2025-01-14,1.09492,1.09534,1.09578,1.09429,93666.0,-0.0009762862799844,0.0018633013827934989
2025-01-15,1.09628,1.09376,1.0992,1.09196,142761.0,0.0012420998794433,0.0018589195949089085
2025-01-16,1.09521,1.09594,1.09645,1.09329,121368.0,-0.0009760280220381,0.0017040825316736999
2025-01-17,1.09415,1.09587,1.09859,1.09181,91783.0,-0.0009678509144365,0.001762603113359757
2025-01-20,1.09478,1.09431,1.09656,1.09279,126914.0,0.0005757894255815,0.0017161004719051074
2025-01-21,1.09023,1.09383,1.09681,1.0895,155507.0,-0.0041560861542958,0.001967818676531915
2025-01-22,1.08615,1.09036,1.09096,1.08501,164026.0,-0.0037423296001761,0.002017495242250831
2025-01-23,1.08486,1.08644,1.08828,1.08352,152526.0,-0.0011876812594945,0.0020136683501400156
2025-01-24,1.0825,1.08419,1.08711,1.08042,155835.0,-0.0021753959036188,0.0016760715410961528
2025-01-27,1.0833,1.08419,1.08506,1.08073,130765.0,0.0007390300230945,0.001924289086948998
2025-01-28,1.08119,1.08334,1.08538,1.07986,104956.0,-0.0019477522385302,0.001909685962229079
2025-01-29,1.07788,1.08032,1.08253,1.07492,172895.0,-0.0030614415597629,0.0016669123147874717
2025-01-30,1.08141,1.07815,1.08299,1.07618,131240.0,0.0032749471184176,0.0024225080731705155
2025-01-31,1.08093,1.08184,1.08387,1.07991,122148.0,-0.0004438649540877,0.0021402167950003046
2025-02-03,1.08114,1.08175,1.08367,1.08048,179270.0,0.0001942771502316,0.0021499458977731535
2025-02-04,1.07781,1.08194,1.08469,1.07701,89757.0,-0.0030800821355236,0.0022908215727914676
2025-02-05,1.07657,1.07677,1.07729,1.07553,104097.0,-0.0011504810680916,0.002214337806721333
2025-02-06,1.07689,1.07587,1.07802,1.07505,95395.0,0.0002972403095014,0.002197742961942783
2025-02-07,1.07422,1.07728,1.08015,1.07333,101241.0,-0.0024793618661144,0.00209630623378901
2025-02-10,1.07516,1.0746,1.07787,1.07346,112696.0,0.0008750535272104,0.0014867201237561143
2025-02-12,1.07316,1.07669,1.0787,1.07042,131163.0,-0.001860188251051,0.0015218880360275233
2025-02-13,1.07179,1.07358,1.07471,1.07118,104816.0,-0.0012766036751274,0.001423169103602673
2025-02-14,1.07621,1.07264,1.0771,1.07088,134840.0,0.0041239421901679,0.0022402738432314886
2025-02-17,1.07623,1.07693,1.07853,1.07476,137853.0,1.8583733657928647e-05,0.002201726436732776
2025-02-18,1.07378,1.07672,1.07804,1.07083,109917.0,-0.0022764650678759,0.0023456226258056195
2025-02-19,1.07578,1.07354,1.0777,1.07285,106566.0,0.001862578926782,0.0022806093484754896
2025-02-20,1.07294,1.07635,1.07695,1.07151,160452.0,-0.0026399449701611,0.0024872616003862417
2025-02-21,1.07349,1.07236,1.07642,1.06944,147823.0,0.0005126102111954,0.0023981059212658017
2025-02-24,1.06891,1.07331,1.07628,1.06626,105806.0,-0.0042664580014718,0.0028890240711703717
2025-02-25,1.06584,1.06855,1.07077,1.06332,160520.0,-0.0028720846469769,0.0021985372069815434
2025-02-26,1.06636,1.06591,1.06815,1.06484,86759.0,0.0004878781055319,0.002254736606796734
2025-02-27,1.06815,1.06809,1.06935,1.06724,126949.0,0.0016786075996848,0.002459363655619726
2025-02-28,1.0686,1.06675,1.07112,1.06461,177374.0,0.000421289144783,0.0022563184672478817
2025-03-03,1.06838,1.06911,1.07129,1.06557,87482.0,-0.0002058768482124,0.002137631217765887
2025-03-04,1.06773,1.06718,1.07129,1.06533,109442.0,-0.0006083977610962,0.002081079286577981
2025-03-05,1.06431,1.06738,1.07014,1.06242,118719.0,-0.0032030569526003,0.0018032731699838488
2025-03-06,1.06268,1.06512,1.06766,1.06155,143066.0,-0.0015315086769832,0.0015810492573545293
2025-03-07,1.06165,1.06272,1.06559,1.05925,178501.0,-0.0009692475627659,0.0015364268243741302
2025-03-10,1.06417,1.06085,1.06646,1.05997,87079.0,0.0023736636367919,0.001721848931402313
2025-03-11,1.06503,1.06364,1.06703,1.0624,87717.0,0.0008081415563301,0.0017632511067062417
2025-03-12,1.06095,1.06554,1.06703,1.05945,144676.0,-0.0038308780034364,0.0021585063428607573
2025-03-13,1.06176,1.06041,1.06459,1.05869,112952.0,0.0007634667043687,0.002259326085306714
2025-03-14,1.06092,1.06193,1.06458,1.05989,171444.0,-0.0007911392405063,0.002000599118984984
2025-03-17,1.05939,1.06095,1.06147,1.05869,171444.0,-0.0014421445537835,0.0019928468808964902
2025-03-18,1.06087,1.05891,1.06134,1.05692,175397.0,0.0013970303665316,0.0020868163714531903
2025-03-19,1.06333,1.06246,1.06471,1.06131,157847.0,0.0023188515086676,0.0020760489201353577
2025-03-20,1.06556,1.0638,1.06807,1.06189,178607.0,0.0020971852576339,0.002223122371807133
2025-03-21,1.06365,1.06405,1.06702,1.06285,174106.0,-0.0017924847028792,0.0016979905250875571
2025-03-24,1.06298,1.06379,1.06458,1.06133,103449.0,-0.0006299064541906,0.0017248696904728167
2025-03-25,1.0638,1.06248,1.06575,1.0607,118536.0,0.0007714162072665,0.0016810079323864601
2025-03-26,1.06614,1.06444,1.06753,1.0639,149077.0,0.0021996615905246,0.0015805393707875714
2025-03-27,1.06507,1.06555,1.06847,1.06379,123258.0,-0.0010036205376405,0.0017119391331319755
2025-03-28,1.06469,1.06498,1.06757,1.06394,133302.0,-0.0003567840611415,0.0015459652756360488
2025-03-31,1.06215,1.06506,1.06764,1.06159,113865.0,-0.0023856709464726,0.0015496710249761575
2025-04-01,1.05941,1.06279,1.06441,1.05643,91645.0,-0.0025796733041472,0.001685375474111524
2025-04-02,1.06135,1.05852,1.06283,1.05643,123000.0,0.001831207936493,0.0019120688192627057
2025-04-03,1.06457,1.06111,1.06569,1.0586,111737.0,0.0030338719555282,0.0022656450958690654
2025-04-04,1.06446,1.06422,1.06501,1.06316,96485.0,-0.000103328104305,0.002069606506258199
2025-04-07,1.06686,1.06397,1.06951,1.0618,123565.0,0.0022546643368468,0.002225430194076028
2025-04-08,1.06776,1.06818,1.07069,1.06539,110522.0,0.000843597098026,0.0022178319108639003
2025-04-09,1.0663,1.06807,1.07107,1.06435,150155.0,-0.0013673484678204,0.0020289793956887454
2025-04-10,1.0672,1.06536,1.07019,1.06374,140168.0,0.0008440401387976,0.0014863818286057822
2025-04-11,1.07087,1.06789,1.07271,1.06642,137487.0,0.0034389055472263,0.0017315424174640121
2025-04-14,1.07084,1.07246,1.07486,1.06953,97342.0,-2.801460494739061e-05,0.0015953744655548404
2025-04-15,1.07458,1.07161,1.07743,1.06879,125806.0,0.0034925852601697,0.001805909111370494
2025-04-16,1.06844,1.07343,1.07604,1.06588,133770.0,-0.0057138602989075,0.0031528088456229935
2025-04-17,1.07042,1.06808,1.07147,1.06517,163623.0,0.0018531691063605,0.0032089111749310792
2025-04-18,1.07068,1.07137,1.07294,1.06996,160629.0,0.0002428953121205,0.003120963392026311
2025-04-21,1.07003,1.07015,1.07089,1.06773,137603.0,-0.0006070908207868,0.0031493391698869284
2025-04-22,1.0703,1.07036,1.07324,1.06746,166974.0,0.0002523293739427,0.00285002149199062
2025-04-23,1.06567,1.07088,1.07286,1.0648,111399.0,-0.0043258899374009,0.003270720244626233
2025-04-24,1.06521,1.06498,1.06621,1.06441,170382.0,-0.0004316533260764,0.002725970868655159
2025-04-25,1.0661,1.06517,1.06825,1.06284,166244.0,0.0008355160015396,0.001951231794288799
2025-04-28,1.06962,1.06368,1.07163,1.06179,161534.0,0.0033017540568427,0.0022698739783299808
2025-04-29,1.06846,1.06885,1.07019,1.06587,140106.0,-0.0010844972981058,0.002291350614465485
2025-04-30,1.06661,1.06827,1.06896,1.06584,115678.0,-0.0017314639761899,0.0023554514206873237
2025-05-01,1.06548,1.06568,1.06782,1.06302,161218.0,-0.0010594312822869,0.002341955183284069
2025-05-02,1.06768,1.06568,1.06944,1.06578,148230.0,0.0020647970867591,0.0018633688082265228
2025-05-05,1.06851,1.06661,1.07092,1.06579,159055.0,0.0007773864828413,0.0018433404314981564
2025-05-06,1.06732,1.06818,1.06993,1.06649,141373.0,-0.0011137003865195,0.001919878378933833
2025-05-07,1.06858,1.06741,1.07119,1.0649,116480.0,0.0011805269272571,0.0014528576488182213
