timestamp,value,nominal,returns
2025-06-10,79.1543,1,
2025-06-11,78.6003,1,-0.006998988052449473
2025-06-12,79.0028,1,0.005120845594736689
2025-06-17,78.5067,1,-0.006279524270025871
2025-06-18,78.7135,1,0.002634170077203679
2025-06-19,78.7174,1,4.954677406043828e-05
2025-06-20,78.4839,1,-0.002966307322142092
2025-06-21,78.5016,1,0.00022552396096520155
2025-06-24,78.2923,1,-0.002666187695537392
2025-06-25,78.3892,1,0.001237669604801539
2025-06-26,78.1959,1,-0.002465900914922048
2025-06-27,78.2117,1,0.00020205662956751524
2025-06-28,78.4685,1,0.0032833962182130527
2025-07-01,78.5284,1,0.0007633636427355484
2025-07-02,78.4181,1,-0.0014045873849461987
2025-07-03,78.654,1,0.0030082340684103315
2025-07-04,78.7831,1,0.0016413659826584048
2025-07-05,78.8354,1,0.0006638479572396161
2025-07-08,78.7185,1,-0.001482836390758524
2025-07-09,78.1682,1,-0.006990732801056998
2025-07-10,78.1727,1,5.756816710644763e-05
2025-07-11,77.9029,1,-0.0034513327542735617
2025-07-12,77.8855,1,-0.00022335497138115112
2025-07-15,78.3722,1,0.006248916678971206
2025-07-16,77.9584,1,-0.005279933445788254
2025-07-17,77.9585,1,1.2827354076705433e-06
2025-07-18,78.1856,1,0.0029130883739425517
2025-07-19,78.3129,1,0.0016281770556214603
2025-07-22,78.3274,1,0.00018515468077406894
2025-07-23,78.0882,1,-0.003053848334043985
2025-07-24,78.4477,1,0.0046037685591420185
2025-07-25,78.8623,1,0.005285049784761187
2025-07-26,79.5527,1,0.008754499932160265
2025-07-29,79.5782,1,0.00032054223175315144
2025-07-30,82.2197,1,0.033193764121329794
2025-07-31,81.8347,1,-0.004682576073617439
2025-08-01,80.3163,1,-0.018554476279622256
2025-08-02,80.3289,1,0.00015687973674083366
2025-08-05,79.6736,1,-0.008157711608151152
2025-08-06,80.049,1,0.0047117238332397005
2025-08-07,80.1914,1,0.0017789104173693282
2025-08-08,79.3847,1,-0.010059682210311949
2025-08-09,79.7796,1,0.004974510201588123
2025-08-12,79.6677,1,-0.0014026142021269505
2025-08-13,79.8714,1,0.002556870601259975
2025-08-14,79.6032,1,-0.0033578978207468024
2025-08-15,79.7653,1,0.0020363502974753978
2025-08-16,80.0224,1,0.0032232060808397023
2025-08-19,80.4256,1,0.0050385891950253114
2025-08-20,80.3466,1,-0.0009822743007202872
2025-08-21,80.1045,1,-0.0030131953312273474
2025-08-22,80.2548,1,0.0018762990843210758
2025-08-23,80.7498,1,0.006167855380612597
2025-08-26,80.6842,1,-0.0008123859130300115
2025-08-27,80.5268,1,-0.0019508156491606643
2025-08-28,80.4421,1,-0.0010518237406677011
2025-08-29,80.2918,1,-0.001868424618452269
2025-08-30,80.3316,1,0.0004956919635628054
2025-09-02,80.4261,1,0.0011763739300600928
2025-09-03,80.5947,1,0.002096334398907773
2025-09-04,80.8488,1,0.0031528127780113824
2025-09-05,81.2977,1,0.005552339676037299
2025-09-06,81.5556,1,0.0031722914670402336
2025-09-09,82.3397,1,0.009614299937711124
2025-09-10,83.2425,1,0.010964334336899695
2025-09-11,84.9211,1,0.02016518004625034
2025-09-12,85.6647,1,0.00875636325954332
2025-09-13,84.3798,1,-0.014999177023908294
2025-09-16,83.0718,1,-0.015501340368192507
2025-09-17,82.8359,1,-0.0028397121526198
2025-09-18,82.9987,1,0.001965331456530439
2025-09-19,83.1725,1,0.0020940087013410214
2025-09-20,83.5904,1,0.005024497279749962
2025-09-23,84.0186,1,0.005122597810274909
2025-09-24,83.3506,1,-0.00795062045785111
2025-09-25,83.9914,1,0.007688007044940326
2025-09-26,83.6069,1,-0.004577849636986708
2025-09-27,83.6118,1,5.860760296116929e-05
2025-09-30,82.8676,1,-0.008900657562688652
2025-10-01,82.6084,1,-0.003127881101902208
2025-10-02,81.4967,1,-0.013457469216205609
2025-10-03,81.0085,1,-0.005990426606230725
2025-10-04,81.8969,1,0.010966750402735537
2025-10-07,83.0,1,0.013469374298660908
2025-10-08,81.9349,1,-0.012832530120481911
