timestamp,value,open,high,low,volume,returns
2024-01-02,81.6947,82.3253,85.9066,77.892,224239.0,
2024-01-03,83.392,82.2133,87.1525,78.4963,212519.0,0.020776133580268974
2024-01-04,85.932,84.8625,88.8795,81.8779,162490.0,0.030458557175748302
2024-01-05,86.7686,83.8253,89.6098,80.7567,370188.0,0.009735604896895289
2024-01-08,89.4594,87.3494,92.5633,84.3505,407406.0,0.031011218343963032
2024-01-09,89.2703,89.1999,91.0386,86.9705,350354.0,-0.0021138080514735424
2024-01-10,92.1031,88.8833,93.0828,87.6814,324662.0,0.031732838357213966
2024-01-11,87.7526,91.1173,93.6536,84.7674,482246.0,-0.04723510935028241
2024-01-12,87.2881,88.8548,92.8668,82.363,325752.0,-0.005293290455211541
2024-01-15,87.7991,87.3621,91.0268,83.203,278889.0,0.005854177144421602
2024-01-16,91.4602,88.709,95.2588,85.5729,207292.0,0.04169860511098644
2024-01-17,88.5246,90.3523,91.2004,87.7636,191944.0,-0.03209702143664672
2024-01-18,87.2171,89.686,90.6711,86.4223,280547.0,-0.014769905766306768
2024-01-19,92.0636,83.182,94.8019,80.3098,354884.0,0.05556823145919765
2024-01-22,87.5315,90.5844,94.6182,83.4232,303575.0,-0.049227925043122345
2024-01-23,87.6231,87.4246,91.0519,83.9096,270792.0,0.0010464804099095115
2024-01-24,95.6989,88.5799,97.66,85.9868,524952.0,0.09216519388152222
2024-01-25,96.7199,95.0824,98.2927,92.9225,318123.0,0.010668879161620515
2024-01-26,94.9201,99.4584,99.2275,92.5893,391739.0,-0.01860837325100617
2024-01-29,91.4039,99.4584,102.3935,88.7245,268254.0,-0.037043787353784996
2024-01-30,90.9811,92.2114,95.0636,87.8598,188157.0,-0.0046256231955090765
2024-01-31,89.2804,88.6595,91.9255,85.9144,407348.0,-0.018692893359170126
2024-02-01,90.9632,86.2103,91.9419,85.0012,160506.0,0.018848481861640343
2024-02-02,91.7736,90.3273,93.0774,88.9264,145993.0,0.008909097305283886
2024-02-05,88.8152,90.2596,94.1304,83.7319,191043.0,-0.03223584996120887
2024-02-06,85.4955,88.8396,90.7433,83.3541,292128.0,-0.03737761103955173
2024-02-07,83.7053,87.1046,88.4296,82.2212,337505.0,-0.020939113754525285
2024-02-08,84.0388,80.6425,86.3052,77.7303,220983.0,0.003984216053224854
2024-02-09,80.8052,84.8989,87.4926,77.8945,220983.0,-0.0384774651708496
2024-02-12,83.1094,80.7608,84.9755,79.2455,259752.0,0.028515491577274732
