timestamp,value,open,high,low,volume,returns
2024-01-02,1.10062,1.09875,1.10914,1.08663,99619.0,
2024-01-03,1.10575,1.08951,1.11115,1.08293,108539.0,0.004661009249332215
2024-01-04,1.10595,1.10372,1.12032,1.09041,155964.0,0.0001808727108296715
2024-01-05,1.1033,1.10005,1.11809,1.08444,113508.0,-0.0023961300239613292
2024-01-08,1.09986,1.10676,1.12575,1.09074,96631.0,-0.0031179189703615107
2024-01-09,1.09803,1.10217,1.11774,1.09195,82295.0,-0.0016638481261251892
2024-01-10,1.09397,1.0996,1.11079,1.07829,89432.0,-0.0036975310328496436
2024-01-11,1.09155,1.0982,1.11255,1.07635,70921.0,-0.0022121264751319147
2024-01-12,1.09123,1.08485,1.09706,1.07966,72817.0,-0.00029316110118648986
2024-01-15,1.0962,1.09238,1.10192,1.07344,95785.0,0.004554493553146521
2024-01-16,1.09542,1.10487,1.11876,1.07998,148542.0,-0.0007115489874111036
2024-01-17,1.09395,1.09616,1.11083,1.08108,92860.0,-0.0013419510324808037
2024-01-18,1.09425,1.09453,1.10276,1.09095,130072.0,0.0002742355683531539
2024-01-19,1.09879,1.09586,1.11722,1.08308,111861.0,0.004148960475211405
2024-01-22,1.09384,1.10605,1.11135,1.0856,147524.0,-0.004504955450996051
2024-01-23,1.09297,1.09412,1.10839,1.08241,71378.0,-0.0007953631244056458
2024-01-24,1.09039,1.10405,1.12292,1.07539,110406.0,-0.0023605405454861783
2024-01-25,1.08908,1.09847,1.10758,1.07794,102427.0,-0.0012014050018800404
2024-01-26,1.08879,1.09847,1.10788,1.07944,113698.0,-0.0002662797957910801
2024-01-29,1.08751,1.08991,1.09857,1.07225,95742.0,-0.0011756169692961338
2024-01-30,1.08427,1.09557,1.11276,1.06804,121591.0,-0.0029792829491221973
2024-01-31,1.08022,1.09058,1.09967,1.07559,80278.0,-0.003735231999409838
2024-02-01,1.0798,1.07819,1.09068,1.07263,70875.0,-0.0003888096869154589
2024-02-02,1.08184,1.08359,1.09688,1.07225,88476.0,0.0018892387479161332
2024-02-05,1.0844,1.08029,1.09136,1.06694,108228.0,0.002366338830141368
2024-02-06,1.08443,1.08157,1.09806,1.06788,122648.0,2.7665068240478874e-05
2024-02-07,1.08583,1.09157,1.1023,1.08093,82797.0,0.0012910008022648523
2024-02-08,1.08705,1.08417,1.09343,1.07987,137664.0,0.001123564462208737
2024-02-09,1.08444,1.08751,1.09536,1.07853,149314.0,-0.002400993514557803
2024-02-12,1.08577,1.08537,1.1016,1.07426,110098.0,0.0012264394526204647
2024-02-13,1.08273,1.08641,1.09424,1.07408,82237.0,-0.002799856323162264
2024-02-14,1.08178,1.08499,1.09158,1.07839,71690.0,-0.000877411727762234
2024-02-15,1.07568,1.08131,1.09541,1.06658,103618.0,-0.005638854480578326
2024-02-16,1.07354,1.07026,1.09024,1.06221,92589.0,-0.0019894392384351978
2024-02-19,1.07771,1.0731,1.09009,1.0634,133552.0,0.003884345250293464
2024-02-20,1.07689,1.08046,1.09542,1.06191,133552.0,-0.000760872590956807
2024-02-21,1.07567,1.07016,1.08499,1.05743,125123.0,-0.0011328919388238212
2024-02-22,1.07534,1.06872,1.08478,1.05983,136112.0,-0.0003067855383156459
2024-02-23,1.07652,1.07226,1.09381,1.06323,149978.0,0.0010973273569290232
2024-02-26,1.07972,1.07127,1.08565,1.05838,133760.0,0.002972541151116559
